CommonName,Type,MAP,NFFD,NPP,PPT_sm,RH,SHM,TD,Wetness,Landcover
Pacific Treefrog,0,306.0316467,204.2537689,3449,75.22037506,57.29827881,167.9779205,22.88401222,8.117895126,17
American Bullfrog,0,301.2307129,195.8493958,5592,83.74976349,55,142.4535675,23.20000076,14.50296593,14
American Bullfrog,0,404.19104,193.718338,NA,107.5956421,57,104.4767685,23.15444374,5.454942226,17
American Bullfrog,0,291.7664795,192.9687958,5812,81.39492798,54,149.2942047,23.07366562,13.47067261,15
Western Toad,0,736.2210693,204.8151398,5654,104.560791,58,100.6878891,21.56426811,13.30893517,8
American Bullfrog,0,364.2230835,215,5409,82,57,137.5256653,22.89999962,12.13497543,17
American Bullfrog,0,420.6243286,210.5559998,2388,95.34218597,58.61501312,124.7749405,22.90431786,7.71141243,8
American Bullfrog,0,344.1655273,198.5966492,4204,98.26495361,57,119.0456238,23.29999924,15.6712265,17
American Bullfrog,0,611.875,208.6108551,5276,96.5904541,57.47605515,115.6071396,22.05239487,10.09901142,8
American Bullfrog,0,396.9694519,211.7002716,2882,100.1205292,58.82922363,118.8752289,22.71707726,14.63013077,10
American Bullfrog,0,282.1765747,195,3306,79.48275757,54,155.3055878,23.15645599,16.02846146,15
American Bullfrog,0,506.5247192,208.8944855,3786,102.3733826,60.30489731,111.543808,22.76949883,8.475670815,8
American Bullfrog,0,412.9564209,209.6781158,2410,93.93288422,58.81834793,126.5122375,22.83217812,6.25227356,10
American Bullfrog,0,281.9075928,194.7042694,4291,79.7947998,54,154.3131104,23.14007568,16.56464958,14
American Bullfrog,0,293.7051697,202,4437,83,56,141.2286072,22.70000076,7.249801636,8
Columbia Spotted Frog,0,288.3597107,193.9974976,4476,80.7684021,54,151.0597839,23.07671165,13.83415318,14
Columbia Spotted Frog,0,282.9222107,194.9113617,4813,80.0879364,54,154.1626892,23.10000038,16.38863754,14
American Bullfrog,0,282.4903259,194.8278961,3965,80,54,154.3180542,23.13305855,15.94943237,14
American Bullfrog,0,298.7418823,201.114563,3847,83.88628387,55.99526978,139.3978729,22.60601807,9.204755783,14
American Bullfrog,0,424.3950806,203.9893494,2994,88.52716827,58.09350967,124.2481995,22.68916893,2.639710426,8
American Bullfrog,0,549.8922119,204.7602997,4989,98.73498535,59.91667175,111.5791016,22.41867256,4.903255939,8
American Bullfrog,0,526.690918,210.5905457,5048,91.0789566,57.34629059,126.3774414,22.3050766,12.16149616,18
American Bullfrog,0,764.5389404,203.0815125,5386,104.5995712,57.95622253,99.14006805,21.36185646,6.072136879,1
American Bullfrog,0,751.725708,202.0374146,4754,102.347641,57.03740692,101.5151062,21.4626503,12.82299709,18
American Bullfrog,0,295.0723572,200.6901245,3831,83.272995,56,141.976944,22.76845169,6.202912331,10
American Bullfrog,0,336.1321411,194.8631592,NA,92.40772247,55.47134018,125.3602448,23.20000076,9.042938232,17
Western Toad,0,332.857605,196,3610,90.69856262,55.0961113,127.4885635,23.20000076,11.26451111,18
American Bullfrog,0,365.9170837,212.7904816,2593,97.87850189,60.08912277,118.7725754,22.60082054,7.023406982,15
Pacific Treefrog,0,752.6848145,201.8843231,5168,100.603508,57.01189041,103.3007965,21.55308151,4.868180275,1
Columbia Spotted Frog,0,761.2854004,202.0905304,5624,101.2852325,57.99317169,102.3650665,21.50800705,3.441212177,8
American Bullfrog,0,299.0975952,196.7048492,4454,82.31210327,55,143.5656433,22.79817963,6.624704838,10
American Bullfrog,0,369.3237,216.3670044,3386,101.5299835,59,118.5449905,22.70000076,11.74163437,18
American Bullfrog,0,341.5566406,205.179306,3119,82.22480011,58.77273941,146.7665253,22.83735466,8.046536446,18
Western Toad,0,342.3678894,199.537796,3796,96.32434845,57,122.0782166,23.31747437,15.81860256,18
American Bullfrog,0,1066.302368,343.0010681,4982,19.82868958,59.30843353,367.6099548,18.15544701,6.235563278,1
American Bullfrog,0,885.6815186,322.5557861,NA,65.58869171,75,125.6027756,12.3092432,4.980288506,10
American Bullfrog,0,1472.27771,318.2118225,7074,146.4398651,76,61.85229492,14.80000019,4.600916386,6
American Bullfrog,0,1065.3927,314,8795,49.49208832,64.3922348,141.7919617,14.66828251,16.31771278,17
Northern Pacific Tree Frog,0,221.6856232,247.2678375,4607,27.93004227,57.09281921,420.9519043,22.69071388,9.137934685,15
American Bullfrog,0,831.6174316,324.8012695,NA,63.50119019,75,129.0286255,12.24023151,8.052440643,18
American Bullfrog,0,1943.269531,302.2828979,5881,184.8509674,73.67637634,48.76584244,15.80583191,4.091240406,17
American Bullfrog,0,288.2129822,241.6646271,1894,31.40323067,56,330.5332031,24.79999924,12.53527927,15
Northern Pacific Tree Frog,0,1053.590942,312.9678955,9426,87.43066406,75,103.8735199,14.20506001,0.218294188,1
American Bullfrog,0,1181.140991,312.3078613,9496,82.36567688,65.27809906,89.35383606,14.80000019,5.586275101,10
American Bullfrog,0,1060.182129,319.1739197,7105,80.09236145,67,110.3684158,15.30000019,14.27031326,17
American Bullfrog,0,984.2741699,334.0075684,6434,14.98420048,58,354.8040771,17.60157967,4.550951958,10
American Bullfrog,0,583.7911987,344,2983,11,57,743.3768921,18.39999962,9.38315773,15
American Bullfrog,0,1189.315186,317.3597412,7044,85.19921875,66.91842651,95.37497711,15.19999981,5.907033443,14
American Bullfrog,0,2120.681396,290.6755371,7508,120.6547623,71.65427399,64.62336731,15.80000019,3.87949872,1
American Bullfrog,0,302.713623,245.2174377,1981,38.2845726,63.48117447,313.4339294,24.4583416,13.94613266,18
American Bullfrog,0,1262.71106,353.1912842,4211,25.0406456,63.32270432,312.1650085,17.95458603,7.162834644,1
American Bullfrog,0,1447.621826,294.8841248,8436,121.1175613,73,73.50758362,14.60000038,8.284093857,6
American Bullfrog,0,922.3198242,322.3102112,8514,68.51358795,75,122.7237854,12.74336433,5.338406563,17
American Bullfrog,0,1107.938721,308.4720764,7737,93.50140381,66.40935516,87.96843719,13.885849,5.299064159,18
American Bullfrog,0,1522.146118,292.9598083,8812,168.3238525,71.19337463,51.33235168,14.237113,3.080466986,1
American Bullfrog,0,864.2854614,323.5497131,NA,64.66947937,75,127.0893631,12.16699314,5.069762707,16
American Bullfrog,0,1066.627808,317.3677368,5756,83.39382172,66,104.0634918,15.29582405,11.70411587,17
American Bullfrog,0,1377.762817,319,NA,135.8167114,77,66.25637817,14.5,9.087903023,17
Northwestern Salamander,0,1607.550171,295.9134216,8305,93.10048676,67.19190979,78.94356537,14.81352615,4.376823902,15
American Bullfrog,0,1061.347412,314,7842,103.8249893,72.51968384,82.00842285,13.4767952,5.683567047,14
American Bullfrog,0,1515.348877,306,7871,152.6203613,72.01638794,54.30686569,14.60000038,5.104333401,15
American Bullfrog,0,1598.21167,306,NA,161.7046967,72.71593475,52.77098846,14.89999962,7.063001156,17
American Bullfrog,0,883.352478,339.3110046,NA,12,58,420.5791321,17.39999962,3.968421698,18
American Bullfrog,0,2055.247559,296.1655273,NA,122.0177536,71,66.79986572,15.60000038,6.952497005,17
American Bullfrog,0,1065.342285,313,7757,62.57163239,64.23336029,121.419899,15.10000038,15.45115948,15
American Bullfrog,0,932.1380615,320.6718445,10124,68.08747864,75.08789063,121.9967194,12.71519184,5.581748486,17
American Bullfrog,0,1560.614624,316.321167,7922,154.99086,75.02404785,58.67897034,14.89999962,4.441634178,8
American Bullfrog,0,1027.86731,316.9507141,NA,67.03421783,66,122.6687546,15.19999981,13.8226757,17
American Bullfrog,0,1531.666748,290.473999,9636,91.70597076,65,80.37857056,14.15013409,6.095975399,6
Northern Pacific Tree Frog,0,1118.37915,314.5385132,NA,60,64,125.3336105,15.10000038,5.677009106,14
Northern Pacific Tree Frog,0,1288.634155,307.1060791,9501,74.12923431,68,96.04685211,13.2062664,9.8179636,17
American Bullfrog,0,1091.028687,317.750885,8198,95.25302887,70.45270538,92.54542542,13.80000019,6.249829292,14
Western Toad,0,1811.864746,299.4772339,7291,184.0142365,72.40270233,48.7948494,15.35972691,3.015745401,5
American Bullfrog,0,314.4030151,246.1687012,NA,33.16777039,58,285.053772,23.79999924,13.1634779,17
American Bullfrog,0,1229.221069,315.5605164,7551,90.84043884,67.07833862,90.4057312,15.0078392,10.32446957,17
American Bullfrog,0,1119.355225,320,7576,71.67457581,67,113.1268234,15.36739826,9.45062542,1
American Bullfrog,0,1071.605103,315,8671,51.06866837,65,139.3510742,14.80000019,13.42412758,15
Northwestern Salamander,0,1449.491089,323.1856689,6455,140.4076691,76.68862152,64.15291595,14.3503046,0,1
American Bullfrog,0,712.1119385,342,NA,18,57,513.1340942,18.79999924,8.682887077,17
American Bullfrog,0,1044.362549,317.8815002,NA,91.30078888,69,100.1914902,13.89999962,11.24485207,17
Sierran Tree Frog,0,1025.668945,345,NA,33,57.70552063,298.5630493,20.20000076,8.24639225,10
American Bullfrog,0,1752.061157,284.1776733,9812,106.634819,72.02776337,75.57121277,15.39999962,2.483253002,6
American Bullfrog,0,1438.302856,299.3390198,9048,143.0925598,70.88108063,57.963974,14.01575947,3.854153395,6
American Bullfrog,0,1056.853271,314,8128,60.83667755,65,126.4800491,15.0703125,14.76982689,18
American Bullfrog,0,561.9508667,264.0261536,4346,45.89305878,56,198.6272888,18.77048874,9.203118324,8
American Bullfrog,0,1201.227905,309.9050598,9667,56.00508118,64.97361755,126.367363,14.89999962,3.653963804,15
American Bullfrog,0,947.4383545,317.1042786,8614,103.4187546,74.685112,81.62805176,13.11264896,0,17
American Bullfrog,0,1470.83313,318.1775208,7089,146.177536,76,61.96076584,14.80000019,4.962616444,17
American Bullfrog,0,1056.566528,309.5962524,NA,88.13801575,75.13839722,102.5823746,14.36804199,4.052746773,15
American Bullfrog,0,1087.817139,321,NA,68.61979675,67,118.9478073,15.30000019,16.66822243,17
American Bullfrog,0,1141.150391,316,8027,62,64,118.1306992,14.89427376,9.545066833,17
American Bullfrog,0,1109.778809,315,8453,58.42112732,64,127.6524048,15.23589325,13.50804138,17
American Bullfrog,0,1247.08728,312.8446045,9314,128.4299622,75,68.06025696,14.2492094,0,17
American Bullfrog,0,1213.896606,307.0622253,8308,125.1589432,69.26561737,69.48537445,13.80000019,5.88537693,6
American Bullfrog,0,1546.735962,308.9891968,7249,159.7923737,73,55.24336243,14.8792038,4.81179142,15
American Bullfrog,0,931.3149414,322,NA,74.11233521,71,122.5940247,13.89999962,12.5047884,17
American Bullfrog,0,1117.876465,312.671936,NA,93.93476105,70.67205048,92.28221893,13.8042345,5.782642365,17
American Bullfrog,0,1068.777954,318.1882324,NA,66.94210815,67,120.6984177,15.30000019,7.384711266,17
American Bullfrog,0,1010.368103,313.3797302,7103,59.74143982,66,135.0283051,15.19390774,12.07402134,15
Northern Pacific Tree Frog,0,1374.591797,307.8303528,8784,78.93652344,68,88.98574066,12.8169632,0.528816283,14
American Bullfrog,0,1655.75708,311.6138916,7238,184.4663391,74.15825653,50.34428406,15.60000038,4.623577595,5
American Bullfrog,0,272.6084595,244,4266,30,56,342.3946228,24.70000076,15.259552,15
American Bullfrog,0,1207.070679,305,9193,81.17210388,64.40885162,88.3252182,14.94088459,9.573618889,15
American Bullfrog,0,706.6156006,176.181076,4373,31.18969154,51.68297958,228.3649445,17.48189354,13.52937222,1
American Bullfrog,0,1097.639648,306.5270691,7858,115.2025223,72,71.90841675,13.72748661,4.542273045,15
American Bullfrog,0,233.7089386,227.1160278,4107,27.88772774,59,385.1940308,22.60781479,14.26162052,8
American Bullfrog,0,1876.623291,312,6375,183.9021454,76,48.41896439,15.01131821,6.810049534,17
American Bullfrog,0,223.3971863,247.4629974,NA,29.87679482,57,407.0357056,22.77625465,8.443784714,15
American Bullfrog,0,1518.677124,317.0409546,7962,151.004715,75.10906982,60.13886642,14.89999962,4.740463734,18
Northwestern Salamander,0,985.352478,325.210022,7979,85,72,104.6501923,13.60000038,8.461418152,17
American Bullfrog,0,891.0148926,323.6151123,10913,68,75,124.6067429,12.60615826,6.096697807,17
American Bullfrog,0,1132.116089,312.8606567,8890,53.71173096,64.01229858,133.2017822,14.69999981,6.227984428,14
American Bullfrog,0,1302.610107,318,NA,130.7417908,76,69.61457062,14.80000019,0.044059735,8
American Bullfrog,0,1148.433228,315.9637451,7231,62.03720093,64,117.9790268,14.89141464,4.407153606,15
American Bullfrog,0,1071.637573,314.0086975,NA,50.90504837,64.89537811,139.118042,14.7435627,17.2760067,17
Northern Pacific Tree Frog,0,947.5335693,321.288208,6892,69.87598419,75,120.4245453,12.79494762,4.630690098,17
American Bullfrog,0,1293.307617,314.8491821,NA,130.1408844,75,69.35584259,14.80000019,0,17
American Bullfrog,0,523.3103027,234.9897156,4083,77.64002991,63,145.6434784,22.43604469,3.758548975,17
American Bullfrog,0,1024.458618,319.7876587,NA,66.33241272,67,123.0771027,15.30000019,13.88383579,17
American Bullfrog,0,1011.404175,295.9836121,8652,101.794075,66.59034729,83.71750641,14.39958954,3.684406757,6
American Bullfrog,0,714.7310791,341.3790894,4004,24.91703224,57,382.795166,19.89999962,7.362398148,18
American Bullfrog,0,1411.332642,307.8005371,8828,80.17774963,68.42719269,87.55810547,12.87520504,4.672787666,14
American Bullfrog,0,623.7114868,279.7646484,5483,35.08592987,56.08597946,295.7695923,19.84058189,3.022030115,8
American Bullfrog,0,713.0426636,343,3446,18,57,527.7271729,18.79999924,8.0828228,15
American Bullfrog,0,708.5784912,342,3566,24.52657509,57,386.0440674,19.9064579,12.44024658,14
American Bullfrog,0,1257.848755,312.4102478,4312,24.71052361,59.45806885,214.1996155,18.09021759,4.341160774,1
American Bullfrog,0,1599.550049,308.330658,8462,119.2743759,67.39008331,68.58533478,15.21499825,3.231453419,14
American Bullfrog,0,1285.05957,308.9533997,8628,94.96043396,67,84.55718231,14.34493065,7.252491474,6
American Bullfrog,0,1107.425049,315.0690308,6678,54.95106125,64.02359772,132.7195282,14.79762936,8.212293625,15
American Bullfrog,0,1121.735107,320.9798279,7200,71.89160156,67,112.9062195,15.30176163,6.437689781,1
American Bullfrog,0,1268.763184,307.3443298,8208,100.170845,66.87522888,80.11763763,14.08053589,16.24973679,14
American Bullfrog,0,1050.626465,319.0006104,7666,66.19552612,66.80659485,122.8197403,15.30000019,14.24067116,14
Northwestern Salamander,0,1425.881958,306.5016479,9909,80.91882324,68.04129028,86.75977325,12.86657143,4.034692764,17
American Bullfrog,0,1089.756592,300.3015747,8866,94.21112823,74.1350174,95.5169754,14.39999962,5.21593523,17
American Bullfrog,0,1375.351807,297.5197754,6927,110.9029312,73,80.38034821,14.44802094,6.508545876,17
American Bullfrog,0,903.553772,205.2127533,2600,38.41688919,56,184.0263214,19.57284737,8.580078125,1
American Bullfrog,0,1005.797546,316,7041,59.01435852,66,139.0089264,15.19999981,14.30087757,17
Western Toad,0,1494.175537,306,8018,150.2411652,72.03469086,54.94298553,14.54995346,4.650791645,5
American Bullfrog,0,1487.834717,306,7535,149.5769043,72.04314423,55.12435532,14.50431538,4.579200268,6
American Bullfrog,0,998.8640137,319,8129,81,71,107.8919601,13.80000019,4.89155817,17
American Bullfrog,0,1090.910278,315,7430,57.16238403,64,127.9222794,14.89999962,5.532094002,17
American Bullfrog,0,943.7554321,318.6763611,10975,68.45609283,75,121.2099609,12.7912178,3.200168133,6
Northern Pacific Tree Frog,0,997.3825073,317.3727112,NA,67.3336792,75,118.7610092,12.65033054,7.764903069,18
American Bullfrog,0,1119.054199,314.8710022,7398,55.12860489,64.13314056,131.3362732,14.78668976,7.350689888,14
American Bullfrog,0,2069.350586,306.947876,6916,201.9003296,77.07820129,42.3300972,14.5,1.871880174,17
American Bullfrog,0,1156.968628,315.0790405,8134,65.89360809,64.07885742,113.4215851,15,6.21613884,14
American Bullfrog,0,978.5662231,318.3405457,8343,67.14395142,75,120.3317642,12.69286728,3.675400257,17
American Bullfrog,0,1322.304321,312.9920654,7817,125.0278473,71,69.03282928,14.10000038,5.092518806,17
American Bullfrog,0,997.486084,317,8619,62.85092926,66,132.2063293,15.19999981,14.710783,17
American Bullfrog,0,863.9156494,341.4455872,NA,31.05566216,57,320.508667,20.10557365,9.935606956,5
American Bullfrog,0,1126.689575,312.6825256,7568,54,64.96750641,132.8632507,14.89553547,8.205302238,17
American Bullfrog,0,504.3047485,232.7885742,5758,92.3216095,65,119.5692291,22,13.8820343,18
American Bullfrog,0,384.0089111,234.7778473,4772,59.76043701,58,167.4412994,20.20000076,13.22049713,15
American Bullfrog,0,1342.703003,306.7596436,7371,156.2428284,77,56.50195694,14.20442104,5.779642582,1
American Bullfrog,0,1171.71582,313.64505,7492,133.8894348,76.52619171,67.4295578,13.8903017,6.692656994,17
American Bullfrog,0,1112.641724,296.543457,9400,95.03121185,75,93.00253296,14.50312614,5.374073982,8
American Bullfrog,0,1131.797241,324,NA,74.1965332,67.33722687,111.4327316,15.43372726,12.70086956,17
American Bullfrog,0,913.3148804,322.7362976,9739,67.26399231,75.19661713,123.7529678,12.64604092,5.18412447,1
American Bullfrog,0,388.888916,234.311203,4291,60.71049118,58.45347977,163.2214966,20.21952438,12.06512451,15
Northwestern Salamander,0,986.9990845,324.2514343,7974,84.73816681,72.48721313,104.4346771,13.60000038,4.954440117,17
American Bullfrog,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Bullfrog,0,993.5866699,316.8305359,9737,70.07429504,75.54315948,117.9850235,13.11470509,3.375601292,1
Northern Pacific Tree Frog,0,917.7073975,322.0794983,10069,68.92146301,75,121.9545517,12.71325111,4.879387379,17
American Bullfrog,0,1106.268921,313.9606018,7074,53.93756104,64,134.6730194,14.78700542,6.29096365,14
American Bullfrog,0,1995.289307,302.5141907,8305,103.4938889,68.86143494,72.89238739,14.39999962,3.908598185,14
American Bullfrog,0,1056.394897,319.7840271,7607,79.69322968,67,111.6836243,15.30000019,14.2462616,14
American Bullfrog,0,1280.9729,315.8896484,8276,133.8047943,71.35400391,65.05690765,13.93540382,4.881886005,5
American Bullfrog,0,1180.350952,307,8678,87,68.54212189,92.70020294,13.90025139,6.781278133,17
American Bullfrog,0,1181.396484,315.3985291,8593,82.75411224,70.96591949,102.7964478,13.96015167,5.603770733,14
American Bullfrog,0,1120.791504,315,7437,57.67107773,64,129.2399292,15,5.878573418,15
American Bullfrog,0,497.2707825,234.728714,3925,73.39250946,61.91817474,154.4677277,22.59052658,10.29660797,17
Green Frog,0,1048.665894,310.7775879,9890,88,75,102.8361511,14.30000019,4.492260456,1
American Bullfrog,0,1543.371948,305.9910583,6731,154.4354401,72.46714783,53.2824707,14.60089397,6.012007236,15
American Bullfrog,0,1078.694092,181.5161896,4352,42.6942215,55.97158051,155.2966614,17.09559059,3.320772171,1
American Bullfrog,0,1891.402466,314.8375854,3587,37.44935226,60.51216888,174.3858948,17.16502762,3.728752851,17
American Bullfrog,0,606.2731323,268.1270752,5400,34.54065323,56.30611038,325.4549255,20.82323647,13.23638248,17
Northwestern Salamander,0,2181.800293,291.2903442,7268,224.5565033,72.83512878,39.41699982,15.35859394,2.638908386,1
American Bullfrog,0,571.0067749,344,3054,10,57,785.4395142,18.39999962,18.30441475,14
American Bullfrog,0,1092.095459,302.7689514,NA,94,75,94.705513,14.40114784,4.587356567,17
American Bullfrog,0,623.4086304,280,5476,35.11903763,55.4728508,295.0406799,19.85127831,3.253130436,8
American Bullfrog,0,985.3800659,317.5335083,8144,60.64085388,66,137.3946075,15.30000019,16.86422729,17
American Bullfrog,0,1654.222412,305,7020,164.969162,73,50.33319092,14.80000019,5.210132599,5
American Bullfrog,0,1081.334717,306.4420166,9246,91.99727631,74.68671417,98.09098053,14.44994545,4.157409191,8
American Bullfrog,0,1804.851563,306.1553955,8384,105.2054596,70,74.54141235,14.53254223,4.960300446,18
American Bullfrog,0,1635.839478,305,7270,163.4090271,73,50.74429703,14.79438305,5.062227726,8
American Bullfrog,0,1240.87561,316.4580383,8033,121.9346466,70.00238037,72.9960022,14.20131302,5.835867405,14
American Bullfrog,0,1323.760132,313.5667114,8701,138.2663116,73,62.69129181,14.0697031,4.671050549,6
American Bullfrog,0,682.2941284,220.77565,3815,93.56309509,61.60798264,113.1974716,22.02368736,3.946504593,1
American Bullfrog,0,1168.933472,311.1372681,NA,79.01391602,73,108.5511475,14.19999981,9.996404648,8
American Bullfrog,0,654.3690186,346.6558838,NA,5,59.65589142,754.8756104,8.21898365,4.720237732,17
American Bullfrog,0,1099.390015,315,8458,81.85189056,71.26879883,104.7967377,13.6685648,5.018737793,14
American Bullfrog,0,1278.893677,315.0406189,8848,130.9695129,71.12900543,67.64201355,14.16236305,3.877836704,6
American Bullfrog,0,1555.242188,294.956604,8895,148.5903931,70,54.4757309,14.19999981,2.464161158,6
American Bullfrog,0,1349.570801,302.697052,4617,28,60.73927689,210.5475464,16.79999924,4.231147289,1
American Bullfrog,0,900.3899536,323,NA,66.40840149,75.13684082,124.6305847,12.57435226,5.645159721,8
American Bullfrog,0,1684.413696,289.2689209,5757,93.13022614,60.3105011,80.26875305,16.9195652,7.103141785,1
